Epoch,Epoch Time,Train Loss,Train BCE Loss,Train Residual Anchor Loss,Train Weighted Residual Anchor Loss,Train Gradient Norm,Val auprc,Val Topology Loss,Internal Val graph_sim,Internal Val relative_density,Internal Val deg_dist_mmd,Internal Val cc_mmd,Selected Rule Type,Selected Rule Positive Edges,Monitor Metric,Monitor Value,Local Train Pairs,Global Train Pairs,Local Validation Pairs,Global Validation Pairs,Peak GPU Mem MB,Learning Rate
11,73.94099876470864,725775.4492407546,595231.5139874239,13054393508303.5,130543.93727979912,4366591488.0,0.1508231406893668,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
12,73.78745461255312,939302.534075255,735991.149687036,20331139082953.28,203311.39147031758,4292106752.0,0.15070569569707748,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
13,184.47392140887678,599585.8967259694,501965.83940992755,9762005732628.31,97620.05579197465,3405913088.0,0.1987190512293631,73.25430293067792,0.057956723822561625,3.6958643548611883,26.792941528871218,7.743119315758324,threshold,85352.0,val_topology_loss,73.25430293067792,63150,252600,15841,63362,5522.7939453125,0.0001
14,1518.5949145667255,91485.39579784693,87391.88290075016,409351283871.46234,4093.5128075945577,2194863104.0,0.3465409603436606,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
15,1523.8734995592386,113244.87865532834,50111.397252016526,6313348199621.373,63133.4819061504,846729344.0,0.3283788024128271,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
16,1525.237217221409,180441.26893294117,66142.27910994408,11429898927983.62,114298.98813424516,948629760.0,0.35223229105806797,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
17,1530.59763448406,127851.76287027415,54002.157328038404,7384960619962.776,73849.60493516308,707897344.0,0.38096442532215624,15995.9466583803,0.08140278103546293,45.67748719031833,35.18297046758384,88.13682799076662,threshold,1110955.0,val_topology_loss,15995.9466583803,63150,252600,15841,63362,5522.7939453125,0.0001
18,198.59036618005484,44362.41498145846,25878.77005755765,1848364489781.2837,18483.64476443299,406849696.0,0.1542638340088425,86.25952329335442,0.055574465904125694,3.981296442690235,26.7844793229872,8.178302641853502,threshold,97303.0,val_topology_loss,86.25952329335442,63150,252600,15841,63362,5522.7939453125,0.0001
19,74.127550015226,170226.45306569684,159934.75353872328,1029169895274.1093,10291.698958001005,1386161664.0,0.15085304693493332,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
20,73.37100380007178,216358.51123243343,202770.16430981198,1358834773364.3613,13588.347686726924,1309986048.0,0.15083909277973948,26.997546486446364,0.0,0.0,34.05457775522393,9.702576088343974,threshold,0.0,val_topology_loss,26.997546486446364,63150,252600,15841,63362,5522.7939453125,0.0001
